Well,Indicator,Acid,Base,percent_acid,L,A,B
A1,5.0,170.0,30.0,85.0,64.4919204712,25.0441913605,10.0236730576
A10,5.0,80.0,120.0,40.0,60.075050354,-0.560881257057,-2.47514796257
A11,5.0,70.0,130.0,35.0,55.5362014771,10.4141159058,-11.0820627213
A12,5.0,60.0,140.0,30.0,50.6004219055,24.269033432,-21.41588974
A2,5.0,160.0,40.0,80.0,59.4611549377,26.7162532806,13.7179641724
A3,5.0,150.0,50.0,75.0,58.8052902222,24.4528503418,17.5122051239
A4,5.0,140.0,60.0,70.0,61.1088943481,16.5128307343,23.6475162506
A5,5.0,130.0,70.0,65.0,64.9189376831,6.1291179657,28.7031612396
A6,5.0,120.0,80.0,60.0,67.0182418823,-0.00762500008568,28.953540802
A7,5.0,110.0,90.0,55.0,66.1211471558,-3.69193816185,24.5589504242
A8,5.0,100.0,100.0,50.0,64.754989624,-6.17179298401,15.8606233597
A9,5.0,90.0,110.0,45.0,62.7694282532,-5.97805833817,6.08770751953
B1,10.0,170.0,30.0,85.0,54.4585762024,43.2494430542,22.0936222076
B10,10.0,80.0,120.0,40.0,45.7420959473,-1.19632637501,-6.91873121262
B11,10.0,70.0,130.0,35.0,40.4151611328,16.2176609039,-19.6998939514
B12,10.0,60.0,140.0,30.0,31.96235466,32.614315033,-30.0294895172
B2,10.0,160.0,40.0,80.0,51.4156837463,42.463973999,24.4112453461
B3,10.0,150.0,50.0,75.0,51.6291427612,39.1773529053,29.3827171326
B4,10.0,140.0,60.0,70.0,54.9538002014,28.406835556,36.1804428101
B5,10.0,130.0,70.0,65.0,60.4561157227,11.7428026199,46.3028182983
B6,10.0,120.0,80.0,60.0,61.8707733154,0.0195666663349,46.8266716003
B7,10.0,110.0,90.0,55.0,58.1318016052,-5.77162694931,37.768196106
B8,10.0,100.0,100.0,50.0,54.5299339294,-13.3767261505,22.9591064453
B9,10.0,90.0,110.0,45.0,50.2770118713,-13.2301473618,6.48633527756
C1,15.0,170.0,30.0,85.0,50.1658210754,49.6725730896,30.2835617065
C10,15.0,80.0,120.0,40.0,31.8757019043,-0.945763885975,-9.02624320984
C11,15.0,70.0,130.0,35.0,25.3999195099,17.6235198975,-21.8351974487
C12,15.0,60.0,140.0,30.0,20.3347244263,29.8969326019,-27.2113666534
C2,15.0,160.0,40.0,80.0,46.8830718994,50.9560317993,33.5045776367
C3,15.0,150.0,50.0,75.0,45.6061286926,50.9864959717,40.587638855
C4,15.0,140.0,60.0,70.0,49.8736343384,39.8560066223,45.5951118469
C5,15.0,130.0,70.0,65.0,55.0207176208,20.674369812,55.5761489868
C6,15.0,120.0,80.0,60.0,57.7284927368,3.28484940529,54.6700057983
C7,15.0,110.0,90.0,55.0,51.2292938232,-6.29915189743,44.2817573547
C8,15.0,100.0,100.0,50.0,44.8837966919,-18.1897220612,26.3458614349
C9,15.0,90.0,110.0,45.0,37.7569351196,-16.3168144226,6.27552986145
D1,20.0,170.0,30.0,85.0,46.0746421814,56.7073173523,39.2876625061
D10,20.0,80.0,120.0,40.0,21.7433586121,-1.49668824673,-8.21513938904
D11,20.0,70.0,130.0,35.0,16.6176185608,14.7334594727,-18.62292099
D12,20.0,60.0,140.0,30.0,11.9229125977,24.6886119843,-22.9802303314
D2,20.0,160.0,40.0,80.0,44.7891387939,55.4795455933,39.7618026733
D3,20.0,150.0,50.0,75.0,42.7490653992,56.5052947998,45.9403686523
D4,20.0,140.0,60.0,70.0,46.2128334045,47.8240661621,49.1282997131
D5,20.0,130.0,70.0,65.0,50.475276947,30.1095619202,56.9869117737
D6,20.0,120.0,80.0,60.0,52.8856773376,7.8497095108,57.4791221619
D7,20.0,110.0,90.0,55.0,45.9569320679,-6.12295436859,45.7512397766
D8,20.0,100.0,100.0,50.0,36.8900909424,-20.6481056213,27.6511058807
D9,20.0,90.0,110.0,45.0,28.5058879852,-16.9863891602,6.76903820038
E1,25.0,170.0,30.0,85.0,43.9020805359,58.4867630005,43.2103042603
E10,25.0,80.0,120.0,40.0,14.8416051865,-1.35267567635,-6.8352804184
E11,25.0,70.0,130.0,35.0,12.0822143555,10.7572517395,-14.7131223679
E12,25.0,60.0,140.0,30.0,8.11868190765,18.254611969,-17.1519889832
E2,25.0,160.0,40.0,80.0,42.1894950867,59.1432380676,44.3329200745
E3,25.0,150.0,50.0,75.0,41.3157997131,59.1842880249,48.252166748
E4,25.0,140.0,60.0,70.0,42.9709625244,53.6515274048,51.2525405884
E5,25.0,130.0,70.0,65.0,48.089756012,35.5825004578,55.9240951538
E6,25.0,120.0,80.0,60.0,49.1111106873,10.9066667557,54.9781150818
E7,25.0,110.0,90.0,55.0,41.3104133606,-6.06272172928,44.6123428345
E8,25.0,100.0,100.0,50.0,31.7221870422,-21.0182113647,25.7678756714
E9,25.0,90.0,110.0,45.0,21.7348766327,-15.3543787003,6.1007604599
F1,30.0,170.0,30.0,85.0,43.9011077881,58.1143264771,43.5451698303
F10,30.0,80.0,120.0,40.0,10.4521923065,-1.78158819675,-5.14696407318
F11,30.0,70.0,130.0,35.0,7.92427444458,7.32859373093,-10.5566539764
F12,30.0,60.0,140.0,30.0,8.46353435516,12.6585474014,-13.2327976227
F2,30.0,160.0,40.0,80.0,41.2255401611,59.8761901855,45.8288955688
F3,30.0,150.0,50.0,75.0,40.1408157349,59.5550765991,48.2705459595
F4,30.0,140.0,60.0,70.0,41.2191047668,56.3580322266,51.3055038452
F5,30.0,130.0,70.0,65.0,46.1143798828,40.4946403503,54.9270324707
F6,30.0,120.0,80.0,60.0,47.3149833679,13.8142023087,53.6473884583
F7,30.0,110.0,90.0,55.0,38.9261512756,-5.82887411118,43.5036811829
F8,30.0,100.0,100.0,50.0,27.5408229828,-20.6555423737,24.6117858887
F9,30.0,90.0,110.0,45.0,16.6971187592,-13.6008205414,5.16344738007
G1,35.0,170.0,30.0,85.0,40.7533187866,61.2557983398,48.145450592
G10,35.0,80.0,120.0,40.0,8.37473392487,-2.27266454697,-4.40517759323
G11,35.0,70.0,130.0,35.0,6.75615215302,4.93571853638,-8.46834564209
G12,35.0,60.0,140.0,30.0,6.14397859573,8.82133102417,-9.11525249481
G2,35.0,160.0,40.0,80.0,40.6847953796,59.0559158325,45.5374526978
G3,35.0,150.0,50.0,75.0,38.9264450073,59.8473129272,48.4417457581
G4,35.0,140.0,60.0,70.0,40.9221153259,55.7844276428,49.9560394287
G5,35.0,130.0,70.0,65.0,44.8298149109,40.8791007996,53.7831268311
G6,35.0,120.0,80.0,60.0,45.9968261719,13.9199514389,52.4836769104
G7,35.0,110.0,90.0,55.0,36.2003898621,-6.84456062317,41.697063446
G8,35.0,100.0,100.0,50.0,24.880153656,-20.7500457764,23.1680736542
G9,35.0,90.0,110.0,45.0,14.1311607361,-12.8207893372,4.60988664627
H1,40.0,170.0,30.0,85.0,39.8508644104,59.0361213684,46.1557769775
H10,40.0,80.0,120.0,40.0,9.23192501068,-3.39882993698,-2.84783959389
H11,40.0,70.0,130.0,35.0,7.55810260773,3.45266318321,-7.11709213257
H12,40.0,60.0,140.0,30.0,5.15732622147,7.07120275497,-7.33771467209
H2,40.0,160.0,40.0,80.0,38.9174079895,58.7091217041,46.050868988
H3,40.0,150.0,50.0,75.0,37.6204071045,59.120967865,47.989315033
H4,40.0,140.0,60.0,70.0,40.1345176697,55.130443573,48.3715171814
H5,40.0,130.0,70.0,65.0,42.1904258728,41.4843254089,51.5474777222
H6,40.0,120.0,80.0,60.0,43.7736587524,13.4547262192,50.6509819031
H7,40.0,110.0,90.0,55.0,36.1058006287,-7.40403413773,40.9684906006
H8,40.0,100.0,100.0,50.0,23.9300880432,-21.0247840881,23.3890228271
H9,40.0,90.0,110.0,45.0,15.78536129,-14.0596837997,5.83939504623
